Chemistry,First element in Periodic Table?,1,Hydrogen,Helium,Calcium,Helium,Hydrogen
Chemistry,20th element in periodic Table?,1,Calcium,Hydrogen,Helium,Hydrogen,Calcium
Chemistry,100th element in periodic table?,2,Fermium,Hydrogen,Helium,Hydrogen,Fermium
GK,Current PM of India?,1,Modi,Kiran Bedi,Rajiv,Kiran Bedi,Modi
GK,Current President of USA?,2,Trump,Bush,Obama,Bush,Trump
GK,What is the Capital of South Korea?,2,Seoul,Paris,Argentina,Paris,Seoul
GK,What is Capital AP?,1,Hyd,Delhi,Indore,Delhi,Hyd
GK,What is capital of India?,2,Dehradun,Delhi,Kanpur,Delhi,Delhi
Physics,Earth's gravity value,3,10,9.8,9.7,10.5,9.8
Physics,How many laws did Newton proposed,3,50,5,10,3.5,3
Chemistry,What's the liquid used in human thermometer,3,Boron,Silica,Alcohol,Mercury,Mercury
Astronomy, Nearest star to Earth?,3,Moon,Sun,Proxima Centuria,Mars,Sun
Biology,Power house of the cell,4,Mitochondria,Plasma,Golgi complex,Nucleus,Mitochondria
Biology,Humans breathe in?,4,Oxygen,Hydrogen,Nitrogen,CO2,Oxygen
Geography,Neighbouring country to Sweden,4,Norway,France,Italy,England,Norway
Geography,Island continet among these?,4,Maldives,West Indies,Sri Lanka,Australia,Australia
